Destination,Month,Date
AAC,04,29
AAE,01,29
AAE,02,58
AAE,03,145
AAE,04,87
AAE,05,87
AAE,06,145
AAE,07,58
AAE,09,57
AAE,10,113
AAH,06,29
AAH,09,29
AAL,01,174
AAL,02,58
AAL,03,174
AAL,04,145
AAL,05,174
AAL,06,116
AAL,07,87
AAL,08,232
AAL,09,342
AAL,10,450
AAL,11,168
AAL,12,336
AAM,06,29
AAN,09,171
AAN,11,112
AAQ,01,145
AAQ,02,203
AAQ,03,319
AAQ,04,493
AAQ,05,812
AAQ,06,1160
AAQ,07,609
AAQ,08,638
AAQ,09,399
AAQ,10,168
AAQ,11,504
AAQ,12,168
AAR,01,87
AAR,02,87
AAR,03,87
AAR,04,87
AAR,05,232
AAR,06,87
AAR,07,58
AAR,08,203
AAR,09,58
AAR,10,282
AAR,11,224
AAR,12,56
AAV,12,56
AAX,08,29
AAX,10,56
ABA,01,58
ABA,04,58
ABA,05,58
ABA,06,29
ABA,07,87
ABA,08,145
ABA,09,29
ABA,10,168
ABA,11,280
ABA,12,280
ABB,02,29
ABC,08,29
ABE,01,87
ABE,02,87
ABE,03,29
ABE,04,29
ABE,05,116
ABE,07,58
ABE,08,58
ABE,09,87
ABE,10,225
ABE,11,112
ABE,12,112
ABI,05,29
ABI,06,29
ABI,07,29
ABI,08,58
ABI,11,112
ABJ,01,348
ABJ,02,116
ABJ,03,203
ABJ,04,232
ABJ,05,203
ABJ,06,174
ABJ,07,174
ABJ,08,232
ABJ,09,627
ABJ,10,622
ABJ,11,336
ABJ,12,448
ABQ,01,261
ABQ,02,203
ABQ,03,232
ABQ,04,174
ABQ,05,203
ABQ,06,290
ABQ,07,174
ABQ,08,290
ABQ,09,798
ABQ,10,225
ABQ,11,616
ABQ,12,392
ABR,03,29
ABR,04,29
ABR,05,29
ABR,07,29
ABR,09,57
ABR,10,56
ABR,11,56
ABR,12,112
ABS,01,58
ABS,03,29
ABT,01,145
ABT,02,116
ABT,03,261
ABT,04,29
ABT,05,145
ABT,06,348
ABT,07,87
ABT,08,29
ABT,09,114
ABT,10,340
ABT,12,168
ABV,01,116
ABV,02,203
ABV,03,116
ABV,04,87
ABV,05,174
ABV,06,116
ABV,07,261
ABV,08,174
ABV,09,285
ABV,10,452
ABV,11,280
ABV,12,224
ABX,01,29
ABX,06,87
ABX,08,58
ABX,11,56
ABX,12,112
ABY,05,29
ABY,07,29
ABY,09,57
ABZ,01,319
ABZ,02,348
ABZ,03,406
ABZ,04,609
ABZ,05,377
ABZ,06,377
ABZ,07,319
ABZ,08,319
ABZ,09,684
ABZ,10,900
ABZ,11,560
ABZ,12,560
ACA,01,116
ACA,02,87
ACA,03,116
ACA,04,116
ACA,05,174
ACA,06,58
ACA,07,87
ACA,08,174
ACA,09,171
ACA,10,114
ACA,11,56
ACA,12,560
ACC,01,1189
ACC,02,1102
ACC,03,1334
ACC,04,870
ACC,05,928
ACC,06,986
ACC,07,928
ACC,08,1015
ACC,09,1767
ACC,10,2026
ACC,11,1904
ACC,12,1512
ACE,01,3339
ACE,02,1189
ACE,03,1479
ACE,04,1363
ACE,05,1624
ACE,06,1334
ACE,07,1392
ACE,08,1015
ACE,09,2565
ACE,10,1978
ACE,11,2576
ACE,12,1512
ACH,01,58
ACH,02,29
ACH,06,29
ACH,11,56
ACK,06,29
ACK,08,29
ACK,09,29
ACK,12,112
ACT,01,58
ACT,04,29
ACT,05,58
ACT,06,29
ACT,08,58
ACT,10,56
ACT,11,56
ACV,05,87
ACV,09,58
ACV,11,112
ACY,01,58
ACY,02,29
ACY,03,29
ACY,04,116
ACY,06,87
ACY,07,58
ACY,08,203
ACY,09,57
ACY,10,170
ACY,12,56
ADA,01,203
ADA,02,203
ADA,03,116
ADA,04,145
ADA,05,348
ADA,06,116
ADA,07,232
ADA,08,319
ADA,09,570
ADA,10,338
ADA,11,504
ADA,12,280
ADB,01,696
ADB,02,493
ADB,03,783
ADB,04,638
ADB,05,754
ADB,06,928
ADB,07,841
ADB,08,986
ADB,09,1254
ADB,10,787
ADB,11,952
ADB,12,504
ADD,01,464
ADD,02,464
ADD,03,638
ADD,04,696
ADD,05,696
ADD,06,522
ADD,07,725
ADD,08,754
ADD,09,1425
ADD,10,1690
ADD,11,1008
ADD,12,1512
ADE,01,116
ADE,03,29
ADE,04,29
ADE,05,29
ADE,06,29
ADE,07,58
ADE,08,29
ADE,11,56
ADE,12,56
ADF,03,29
ADF,07,58
ADJ,07,29
ADJ,08,29
ADJ,09,29
ADL,01,725
ADL,02,580
ADL,03,899
ADL,04,551
ADL,05,609
ADL,06,522
ADL,07,435
ADL,08,493
ADL,09,1596
ADL,10,1468
ADL,11,1064
ADL,12,1232
ADS,10,56
ADS,11,56
ADZ,01,406
ADZ,02,58
ADZ,03,174
ADZ,04,203
ADZ,05,232
ADZ,06,290
ADZ,07,203
ADZ,08,406
ADZ,09,570
ADZ,10,674
ADZ,11,448
ADZ,12,504
AEP,01,58
AEP,02,58
AEP,03,261
AEP,04,116
AEP,05,174
AEP,06,174
AEP,07,232
AEP,08,174
AEP,09,513
AEP,10,453
AEP,11,616
AEP,12,280
AER,01,406
AER,02,754
AER,03,1044
AER,04,1363
AER,05,1508
AER,06,1769
AER,07,1711
AER,08,2088
AER,09,2166
AER,10,1808
AER,11,2240
AER,12,2128
AES,01,87
AES,02,87
AES,03,58
AES,04,174
AES,05,145
AES,06,87
AES,07,290
AES,08,203
AES,09,399
AES,10,510
AES,11,224
AES,12,168
AEX,01,29
AEX,06,29
AEX,07,29
AEX,10,56
AEX,12,56
AEY,03,29
AEY,07,29
AEY,11,56
AEY,12,56
AFL,03,29
AFL,08,29
AFL,09,57
AFL,10,170
AGA,01,464
AGA,02,609
AGA,03,928
AGA,04,609
AGA,05,435
AGA,06,580
AGA,07,754
AGA,08,551
AGA,09,798
AGA,10,1071
AGA,11,896
AGA,12,672
AGB,01,29
AGB,02,29
AGB,03,29
AGB,04,29
AGB,06,87
AGB,07,29
AGB,08,58
AGC,04,29
AGF,01,29
AGF,06,58
AGF,07,29
AGF,08,29
AGF,10,56
AGH,01,58
AGH,02,29
AGH,03,174
AGH,04,116
AGH,05,116
AGH,06,58
AGH,07,29
AGH,08,87
AGH,09,29
AGH,10,171
AGH,11,168
AGP,01,4901
AGP,02,4263
AGP,03,5423
AGP,04,4205
AGP,05,5510
AGP,06,4031
AGP,07,4524
AGP,08,4002
AGP,09,8151
AGP,10,6499
AGP,11,6384
AGP,12,3696
AGR,01,29
AGR,02,58
AGR,03,29
AGR,04,29
AGR,05,29
AGR,06,58
AGR,07,29
AGR,08,29
AGR,09,57
AGR,11,56
AGR,12,56
AGS,01,29
AGS,02,29
AGS,04,29
AGS,05,29
AGS,07,29
AGS,08,58
AGS,09,171
AGS,10,224
AGS,11,56
AGT,01,87
AGT,03,58
AGT,11,112
AGT,12,56
AGU,01,87
AGU,02,29
AGU,03,87
AGU,05,145
AGU,06,87
AGU,08,116
AGU,09,171
AGU,10,340
AGU,11,168
AGU,12,168
AGX,02,29
AGX,03,29
AGX,05,29
AGX,06,29
AGX,08,58
AGX,09,29
AGX,11,112
AHB,01,1131
AHB,02,609
AHB,03,1218
AHB,04,986
AHB,05,1566
AHB,06,3248
AHB,07,1160
AHB,08,1160
AHB,09,1140
AHB,10,1750
AHB,11,1176
AHB,12,1288
AHE,01,29
AHE,10,56
AHN,01,29
AHN,03,29
AHN,04,58
AHN,05,29
AHN,06,29
AHN,07,58
AHN,08,29
AHN,10,56
AHN,11,224
AHN,12,56
AHO,01,58
AHO,02,174
AHO,03,348
AHO,04,348
AHO,05,174
AHO,06,464
AHO,07,377
AHO,08,377
AHO,09,855
AHO,10,169
AHO,11,336
AHO,12,112
AHU,01,29
AHU,02,29
AHU,03,29
AHU,04,29
AHU,05,29
AHU,06,58
AHU,07,29
AHU,08,29
AHU,12,56
AIA,10,56
AIT,01,29
AIT,10,56
AIT,11,56
AIY,03,58
AIY,04,29
AIY,06,87
AIY,07,29
AIY,08,58
AIY,11,56
AJA,01,377
AJA,02,406
AJA,03,464
AJA,04,551
AJA,05,551
AJA,06,493
AJA,07,522
AJA,08,377
AJA,09,627
AJA,10,451
AJA,11,280
AJA,12,448
AJF,01,174
AJF,02,145
AJF,03,174
AJF,04,174
AJF,05,174
AJF,06,87
AJF,07,116
AJF,08,87
AJF,09,171
AJF,10,284
AJF,11,56
AJF,12,336
AJI,01,29
AJI,03,29
AJL,04,58
AJL,05,29
AJL,06,58
AJL,09,57
AJL,11,112
AJL,12,56
AJR,01,29
AJR,03,29
AJR,10,56
AJU,01,319
AJU,02,319
AJU,03,464
AJU,04,319
AJU,05,348
AJU,06,290
AJU,07,406
AJU,08,232
AJU,09,1083
AJU,10,680
AJU,11,952
AJU,12,392
AKI,07,29
AKJ,04,29
AKJ,06,29
AKJ,07,29
AKJ,12,112
AKL,01,2842
AKL,02,2697
AKL,03,2117
AKL,04,2378
AKL,05,2494
AKL,06,2755
AKL,07,3103
AKL,08,2987
AKL,09,6213
AKL,10,7050
AKL,11,5432
AKL,12,3696
AKN,01,29
AKN,09,57
AKN,12,56
AKU,05,29
AKX,01,29
AKX,03,58
AKX,07,29
AKX,08,29
AKX,09,57
AKX,11,168
AKX,12,56
AKY,08,29
ALA,01,377
ALA,02,406
ALA,03,290
ALA,04,551
ALA,05,493
ALA,06,638
ALA,07,522
ALA,08,261
ALA,09,1254
ALA,10,1695
ALA,11,1344
ALA,12,1288
ALB,01,87
ALB,02,145
ALB,03,174
ALB,04,87
ALB,05,116
ALB,06,145
ALB,07,290
ALB,08,145
ALB,09,228
ALB,10,393
ALB,11,392
ALB,12,392
ALC,01,3219
ALC,02,2697
ALC,03,2262
ALC,04,2668
ALC,05,2813
ALC,06,2581
ALC,07,3161
ALC,08,2407
ALC,09,4218
ALC,10,3724
ALC,11,3024
ALC,12,2632
ALF,01,58
ALF,02,87
ALF,03,58
ALF,04,29
ALF,05,87
ALF,06,29
ALF,07,58
ALF,08,58
ALF,09,228
ALF,11,168
ALG,01,754
ALG,02,841
ALG,03,1305
ALG,04,1363
ALG,05,1363
ALG,06,1624
ALG,07,1827
ALG,08,1160
ALG,09,1995
ALG,10,1634
ALG,11,2016
ALG,12,1624
ALH,11,56
ALL,01,29
ALL,05,29
ALM,02,58
ALO,04,29
ALO,08,29
ALO,09,29
ALO,10,57
ALP,01,29
ALP,08,29
ALP,12,56
ALS,11,56
ALS,12,56
ALW,06,29
ALW,07,29
ALW,08,29
ALY,01,29
ALY,02,29
ALY,03,29
ALY,05,58
ALY,06,87
