,Month,Destination,Date
0,01,AAE,28
1,01,AAL,168
2,01,AAQ,140
3,01,AAR,84
4,01,ABA,56
5,01,ABE,84
6,01,ABJ,336
7,01,ABQ,252
8,01,ABS,56
9,01,ABT,140
10,01,ABV,112
11,01,ABX,28
12,01,ABZ,308
13,01,ACA,112
14,01,ACC,1148
15,01,ACE,1639
16,01,ACH,56
17,01,ACT,56
18,01,ACY,56
19,01,ADA,196
20,01,ADB,672
21,01,ADD,448
22,01,ADE,112
23,01,ADL,700
24,01,ADZ,392
25,01,AEP,56
26,01,AER,392
27,01,AES,84
28,01,AEX,28
29,01,AGA,448
30,01,AGB,28
31,01,AGF,28
32,01,AGH,56
33,01,AGP,4732
34,01,AGR,28
35,01,AGS,28
36,01,AGT,84
37,01,AGU,84
38,01,AHB,1092
39,01,AHE,28
40,01,AHN,28
41,01,AHO,56
42,01,AHU,28
43,01,AIT,28
44,01,AJA,364
45,01,AJF,168
46,01,AJI,28
47,01,AJR,28
48,01,AJU,308
49,01,AKL,2744
50,01,AKN,28
51,01,AKX,28
52,01,ALA,364
53,01,ALB,84
54,01,ALC,3108
55,01,ALF,56
56,01,ALG,728
57,01,ALL,28
58,01,ALP,28
59,01,ALY,28
60,01,AMA,28
61,01,AMD,672
62,01,AMM,1064
63,01,AMS,8316
64,01,ANC,196
65,01,ANE,28
66,01,ANF,28
67,01,ANK,252
68,01,ANR,28
69,01,ANU,476
70,01,AOE,28
71,01,AOI,140
72,01,AOK,56
73,01,APW,112
74,01,AQI,28
75,01,AQJ,56
76,01,AQP,56
77,01,ARE,28
78,01,ARH,56
79,01,ARN,2843
80,01,ARW,28
81,01,ASB,28
82,01,ASE,28
83,01,ASM,28
84,01,ASP,56
85,01,ASR,280
86,01,ASU,308
87,01,ATH,5124
88,01,ATL,2156
89,01,ATM,56
90,01,ATQ,448
91,01,AUA,1120
92,01,AUH,1919
93,01,AUS,392
94,01,AUX,28
95,01,AVN,56
96,01,AVV,112
97,01,AXA,28
98,01,AXD,84
99,01,AXM,84
100,01,AYE,28
101,01,AYQ,28
102,01,AYT,3892
103,01,AZA,84
104,01,AZS,28
105,01,BAE,28
106,01,BAH,476
107,01,BAK,196
108,01,BAL,28
109,01,BAQ,224
110,01,BAR,28
111,01,BAU,28
112,01,BAV,28
113,01,BAX,84
114,01,BBI,252
115,01,BBU,28
116,01,BCD,28
117,01,BCM,56
118,01,BCN,14476
119,01,BDA,504
120,01,BDL,140
121,01,BDO,28
122,01,BDQ,112
123,01,BDS,504
124,01,BEB,28
125,01,BEG,1232
126,01,BEL,560
127,01,BEN,84
128,01,BER,6608
129,01,BES,196
130,01,BEY,1148
131,01,BFL,28
132,01,BFN,28
133,01,BFS,308
134,01,BGA,112
135,01,BGI,728
136,01,BGJ,28
137,01,BGO,1064
138,01,BGR,84
139,01,BGT,28
140,01,BGW,127
141,01,BGY,364
142,01,BHD,392
143,01,BHE,28
144,01,BHH,84
145,01,BHI,28
146,01,BHJ,56
147,01,BHK,56
148,01,BHM,140
149,01,BHO,56
150,01,BHX,924
151,01,BHZ,280
152,01,BIA,112
153,01,BIL,84
154,01,BIM,28
155,01,BIO,1204
156,01,BIQ,336
157,01,BIS,112
158,01,BJA,84
159,01,BJL,168
160,01,BJS,1428
161,01,BJV,280
162,01,BJX,252
163,01,BJZ,112
164,01,BKG,28
165,01,BKI,280
166,01,BKK,21000
167,01,BKO,84
168,01,BLA,28
169,01,BLI,28
170,01,BLL,252
171,01,BLQ,868
172,01,BLR,1695
173,01,BMA,56
174,01,BME,84
175,01,BMI,28
176,01,BML,56
177,01,BMV,28
178,01,BNA,616
179,01,BNE,3108
180,01,BNK,84
181,01,BNN,28
182,01,BNU,28
183,01,BOA,28
184,01,BOB,308
185,01,BOC,28
186,01,BOD,1064
187,01,BOG,2884
188,01,BOH,28
189,01,BOI,112
190,01,BOJ,280
